distance,shotClock
3.33618,17.59
2.64751,6.97
26.8741,16.76
14.293,7.54
26.912,16.89
26.2131,8.41
26.4462,15.65
13.7137,8.33
2.01911,18.79
24.81,12.85
10.0823,8.48
2.34617,12.78
22.7057,17
15.0274,2.88
5.91556,19
3.58309,15.75
6.5696,6.82
2.94201,16.61
11.9786,19.56
7.50113,12.75
24.7857,14.49
23.4506,13.47
19.26,18.74
1.26463,6.72
25.0825,14.84
3.69005,9.76
3.02076,5.91
10.4812,12.41
3.77975,8.16
13.7552,18.89
2.75363,19.91
3.89803,13.94
2.29382,14.17
16.1788,8.12
25.4426,8.62
26.4567,10.99
24.8951,13.65
4.39065,24
5.3643,12.29
1.23,20.33
5.42333,5.07
4.97161,19.25
30.5752,14.47
26.0139,12.08
2.17002,15.12
4.5301,14.41
1.89842,8.4
23.4214,17.79
8.14894,1.77
0.228035,24
4.84373,18.71
6.06976,16.53
4.96533,11.13
4.88374,6.91
24.8499,11.98
12.3323,15.6
7.16279,7.08
4.79893,14.08
1.45437,0
14.8618,16.82
15.9354,7.35
13.6266,3.33
11.818,19.83
27.3195,18.24
12.0111,17.52
24.9173,16.08
4.6339,11.12
2.56517,15.47
23.6578,9.6
9.03466,12.49
5.77478,19.08
5.07119,7.26
3.86807,18.16
25.7629,13.25
5.11533,5.76
6.56175,6.67
25.9362,13.06
1.23167,24
25.1535,6.21
24.4671,16.18
0.302324,12.24
25.7105,14.7
26.0386,13.73
6.41789,15.49
6.96323,6.67
24.5844,8.01
10.832,12.75
25.1311,9.91
2.79113,4.96
12.2128,13.97
3.12706,12.71